{'loss': 1.201, 'learning_rate': 4e-05, 'epoch': 0.02}
{'loss': 0.0085, 'learning_rate': 6.666666666666667e-07, 'epoch': 4.92}
{'loss': 0.0095, 'learning_rate': 0.0, 'epoch': 4.94}
{'eval_loss': 0.12935304641723633, 'eval_runtime': 22.7796, 'eval_samples_per_second': 1.229, 'eval_steps_per_second': 1.229, 'epoch': 4.94}
{'train_runtime': 2644.7747, 'train_samples_per_second': 0.467, 'train_steps_per_second': 0.115, 'train_loss': 0.09751380301065377, 'epoch': 4.94}
***** train metrics *****
  epoch                    =       4.94
  train_loss               =     0.0975
  train_runtime            = 0:44:04.77
  train_samples_per_second =      0.467
  train_steps_per_second   =      0.115



